CHAMPION,POSITION,GP,P%,B%,P+B%,W%,AGT,KPG,DPG,APG,KDA,KP%,DTH,CKPM,FB%,FBD%,GD10,XPD10,CSD10,CSPM,DPM,DMG%,EGPM,GOLD%
Twisted Fate,Middle,1,0.1,0,0.1,0,33.4,1,2,0,0.5,50,16.7,0.42,-,-,-,-,-,-,-,-,-,-
Twitch,ADC,3,0.3,0,0.3,33.3,32.5,4,2.3,5.3,4,51.9,14,1.07,0,0,91,108,17,8.6,561,27.3,288.6,22.9
Urgot,Top,268,27.5,14.5,47.7,55.2,33.6,3.2,2.1,4.1,3.5,60.5,19.1,0.68,11.9,6.7,27,2,1.1,8.2,365,20.8,258.5,22.6
Urgot,Middle,51,5.2,14.5,47.7,45.1,33,2.5,2.5,3.7,2.5,62.7,21.6,0.65,11.8,9.8,-131,-83,-0.7,8.6,337,19.7,240.6,21.6
Urgot,Jungle,5,0.5,14.5,47.7,40,37.6,4.2,2.8,5,3.3,59.7,18.7,0.81,0,0,-266,-580,-9.3,5.1,274,12.6,214.3,17.7
Varus,ADC,109,11.2,5.7,16.9,50.5,33.2,3.4,2.4,4.5,3.3,66.4,19,0.74,11.9,6.4,8,-10,5.5,9.4,449,26.6,287.3,25.9
Vayne,Middle,9,0.9,9,22.7,77.8,32,5.7,1.4,4.2,6.8,70.6,14,0.76,22.2,0,312,78,13.8,9.5,569,30.4,332.7,27.1
Vayne,ADC,120,12.3,9,22.7,52.5,33.1,4.4,2.2,4,3.8,66.7,17.8,0.75,11.7,2.5,-147,30,-1.3,9.2,468,27,306,26.6
Vayne,Top,4,0.4,9,22.7,0,29.4,1.5,3.5,2,1,58.3,20.3,0.79,0,0,329,2,17.8,8.5,338,23.7,224.1,23.5
Veigar,ADC,1,0.1,0,0.2,0,27.7,1,4,1,0.5,25,19,1.05,0,0,-272,-924,-11,10,334,21.9,240.9,24.9
Veigar,Support,1,0.1,0,0.2,0,35.2,1,3,2,1,50,13.6,0.8,-,-,-,-,-,-,-,-,-,-
Vel'koz,Middle,15,1.5,0.7,2.5,46.7,35,2.5,2,6.2,4.3,71.4,16.4,0.69,20,0,157,99,0.5,8.1,575,34,249.8,21.7
Vel'koz,ADC,1,0.1,0.7,2.5,100,26.6,1,0,3,4,50,0,0.41,0,0,376,53,4,9.7,401,28.5,256.5,21.1
Vel'koz,Support,1,0.1,0.7,2.5,0,37.6,2,6,0,0.3,100,50,0.37,100,0,-82,-118,-2,0.5,193,13.7,91.7,9.7
Vi,Jungle,7,0.7,0.1,0.8,28.6,36,2.4,3,6.3,2.9,65.6,17.9,0.83,28.6,0,202,161,1.3,5.2,227,13.9,205.7,16.3
Viktor,ADC,31,3.2,5,14.4,35.5,34.4,1.9,2.1,4.3,2.9,69.3,16.8,0.62,3.2,3.2,-344,-47,-11.1,9.3,655,36.3,272.1,24.8
Viktor,Middle,21,2.2,5,14.4,23.8,35,2.3,1.8,2.3,2.6,65.5,15.5,0.53,9.5,4.8,-207,-54,-8.7,9.1,555,34.8,253,24.7
Viktor,Top,39,4,5,14.4,35.9,33.2,1.9,3.1,4,1.9,58,22.8,0.72,7.7,12.8,-64,-53,-1.8,8.4,539,30.9,244.1,22.1
Vladimir,Middle,30,3.1,23.6,41.4,46.7,32.7,2.8,2.5,4.9,3.1,66.6,17.7,0.78,3.3,6.7,-156,-3,-0.3,8.7,523,29,269.4,23.4
Vladimir,Top,126,12.9,23.6,41.4,51.6,33.2,2.9,2.3,4.1,3,58.9,19.5,0.71,4.8,5.6,-164,-19,-1,8.7,476,28.1,265.1,23.6
Vladimir,ADC,18,1.8,23.6,41.4,55.6,33.2,2.9,1.9,4.3,3.8,61.3,18.3,0.67,11.1,16.7,-174,-64,-6.9,9.4,450,27.1,283.6,23.8
Volibear,Top,2,0.2,0.1,0.3,50,29,2,2.5,8,4,66.7,17.9,1,0,0,247,252,2.5,7.5,374,23.7,239.1,22
Xayah,Middle,1,0.1,3.1,12.5,100,24.9,8,0,10,18,75,0,1.24,100,0,530,312,14,11,516,26.3,410,27.6
Xayah,ADC,91,9.3,3.1,12.5,59.3,32.5,3.6,1.8,5.2,4.9,69.7,16.2,0.72,16.5,6.6,54,37,0.4,10.1,490,27,311.7,27.1
Xerath,Middle,1,0.1,0,0.1,0,36.6,3,3,5,2.7,100,18.8,0.66,0,0,15,-257,-16,8.9,808,48.5,272.1,27.4
Xin Zhao,Jungle,106,10.9,8.1,19,40.6,33.2,2.2,3,5.1,2.4,65.2,23.4,0.73,21.7,7.5,-31,-71,0.3,4.9,234,14.3,183.9,16.8
Yasuo,ADC,12,1.2,14.2,20.3,41.7,30.8,3.8,2.5,3.8,3,68.2,19.5,0.77,25,0,149,180,12.4,9.5,377,23.7,303.1,26.5
Yasuo,Middle,46,4.7,14.2,20.3,54.3,32.5,3.3,3,4.4,2.6,60.5,23.1,0.79,21.7,6.5,104,99,2.8,8.9,309,18.6,274.4,23.8
Yasuo,Top,2,0.2,14.2,20.3,50,26.7,1.5,3.5,4.5,1.7,57.1,25.9,0.9,0,50,23,147,4,9.3,264,16.4,253.7,23.9
Yorick,Top,108,11.1,20.2,31.3,49.1,32.9,1.9,2,3.4,2.7,53.8,17.4,0.65,5.6,10.2,-129,-58,-2.2,8.9,419,25.4,271.8,24.4
Zac,Jungle,46,4.7,5.3,10.1,52.2,34.3,1.4,2.1,6.8,3.9,73.2,19.9,0.63,39.1,2.2,-153,-118,-9,4.5,161,10,167.4,14.8
Zed,Middle,5,0.5,0.5,1.1,60,35.7,2.6,2.6,3.6,2.4,52.5,24.5,0.63,40,0,157,409,6.5,8.5,507,25.2,264.5,22.5
Zed,Top,1,0.1,0.5,1.1,0,40.7,5,2,6,5.5,64.7,13.3,0.79,0,0,-327,141,-13,7.3,350,20.3,240,21.6
Ziggs,Middle,2,0.2,0,0.3,50,31.1,2,2,1,1.5,54.5,28.6,0.4,0,0,-18,34,1.5,8.2,512,35,215.9,22.3
Ziggs,ADC,1,0.1,0,0.3,100,33,1,2,7,4,40,22.2,0.88,0,0,-150,-18,-1,9.2,451,26.2,240,19.1
