CHAMPION,POSITION,GP,P%,B%,P+B%,W%,AGT,KPG,DPG,APG,KDA,KP,DTH%,CKPM,FB%,FBD%,GD10,XPD10,CSD10,CSPM,DPM,DMG%,EGPM,GOLD%
Jarvan IV,Jungle,56,0.34,0.33,0.66,0.46,33.5,1.3,3.1,7.8,2.9,0.82,0.25,0.7,0.27,0.09,-120,-64,0,4.8,148,0.10,161.1,0.16
Jax,Top,2,0.01,0.01,0.02,0.00,33,1.5,3,2.5,1.3,0.62,0.18,0.71,-,-,-,-,-,-,-,-,-,-
Jayce,Middle,3,0.02,0.01,0.03,0.33,37.6,2.7,2,2.7,2.7,0.84,0.16,0.5,0.33,0.00,54,-274,3,8.8,413,0.39,251.1,0.28
Jinx,ADC,1,0.01,0.00,0.01,0.00,33.5,5,3,2,2.3,0.58,0.27,0.69,0.00,0.00,-240,-540,-4,10.5,309,0.24,314.2,0.32
Kai'Sa,ADC,9,0.05,0.01,0.06,0.56,30.5,3.7,1.8,4.3,4.5,0.63,0.15,0.8,0.11,0.00,-242,-127,-4.4,9.3,438,0.24,299,0.27
Kalista,ADC,3,0.02,0.02,0.04,0.67,29.4,2.3,1,2,4.3,0.77,0.27,0.32,0.33,0.00,305,300,14,11,360,0.29,333.7,0.30
Karma,Middle,1,0.01,0.01,0.02,0.00,24.3,1,1,1,2,0.67,0.09,0.58,0.00,0.00,-760,-678,-59,4,343,0.37,174,0.20
Karma,Support,1,0.01,0.01,0.02,1.00,30.1,1,1,19,20,0.87,0.10,1.1,1.00,0.00,732,620,4,1.3,332,0.14,172.8,0.13
Karma,Top,1,0.01,0.01,0.02,0.00,29.8,1,5,0,0.2,0.33,0.33,0.6,0.00,0.00,-671,-683,-14,6.6,258,0.29,149.5,0.19
Karthus,Jungle,5,0.03,0.03,0.06,0.60,32.1,3.8,1.4,4.4,5.9,0.79,0.18,0.57,0.60,0.00,335,421,9.6,7.2,485,0.28,252.4,0.22
Kassadin,Middle,1,0.01,0.00,0.01,0.00,33.6,1,3,3,1.3,0.67,0.20,0.63,0.00,0.00,-157,292,-3,8,398,0.27,202.7,0.22
Kayle,Top,3,0.02,0.02,0.04,0.33,38.9,4.3,2.3,3.3,3.3,0.79,0.23,0.51,0.00,0.33,52,-52,3.3,10.5,564,0.37,344,0.31
Kennen,Top,13,0.08,0.04,0.12,0.62,32.3,1.8,3.1,4.1,1.9,0.50,0.26,0.73,0.15,0.00,184,91,9,8.4,428,0.26,244,0.23
